,index,pre_close,pre_settle,open,high,low,close,settle,vol,MA,EMA,DEMA,HT_TRENDLINE,KAMA,TEMA,WMA,MACD,CCI,DX,MINUS_DI,PLUS_DI,pcg_zscore
210,211,-0.022069092045498936,0.10782751391542195,0.12157668361933222,-0.048953154434919745,0.0816564056993529,-0.05638052611671319,-0.06893538081049301,5919.0,6364.093333333334,6313.172199114945,6229.922544713699,6284.572105263158,6309.786764881806,6162.285970490018,6284.87182795696,-63.63983914749224,34.43337484433799,43.31784313839049,30.801328389759536,12.181914610928349,0.7445351196861866
211,212,-0.056314989987829016,-0.06868305517869983,0.20020362307710907,0.6944278893002,0.39783742417852597,0.7433100947680332,0.6807246812822806,6343.0,6355.846666666666,6310.7610894946265,6230.626826377678,6274.153,6308.585263334294,6170.2683004021255,6279.1754838709385,-55.80801844527559,164.7288442771509,28.61049469171894,28.38994921474257,15.758779522820651,1.032190274092383
212,213,0.7434032864166293,0.6798084074452189,0.3935069571513991,1.0295594734143938,0.48563157152651687,1.0257427277936382,1.0234462439087078,6933.0,6348.293333333333,6314.389406301425,6242.819327495155,6266.5470000000005,6310.3889681535065,6194.366556260276,6279.895053763412,-41.76077409515892,268.6277228332874,10.32220855244007,25.751444391387768,20.93261810024952,-0.09369733196580911
213,214,1.0258456867460464,1.0219957222754752,0.9894806221567275,0.0010139488951924514,0.9184263658670334,-0.08617938899510635,-0.013627376997128004,5089.0,6341.533333333334,6317.267509120688,6253.007273519939,6260.335000000001,6311.728637749026,6214.518727944087,6280.585806451585,-30.9173687029579,218.08428581445867,10.322208552440074,25.15674861791497,20.449206788529008,-0.22837961910771445
214,215,-0.0861148833935514,-0.013461267648084736,-0.04704035681182378,-0.0751677527052192,-0.2919024726331268,-0.22036659619654572,-0.2711288337678384,5434.0,6334.58,6318.66960530645,6259.866829724689,6253.980000000001,6312.50211309458,6228.9667819456845,6280.422365591369,-23.664930077125973,139.83852364475285,15.136636058915904,26.551187174372583,19.56999211870009,0.3873859981990072
215,216,-0.22030673116080077,-0.2705613210616901,-0.24311517619034778,0.22936273672360175,0.07993962373109927,0.39107211748039017,0.38397219840517494,5638.0,6328.213333333333,6322.226404964098,6270.544685551218,6248.4710000000005,6314.037781805083,6248.29982243207,6282.952688172015,-14.9370658537282,127.93165933212576,11.007262194648517,25.132911750430825,20.14865137173839,-0.33078927181996076
216,217,0.39115312776275574,0.3835185139621694,0.4467380502762542,0.08514181407511334,0.17556415458491786,-0.32257006402507127,-0.11868737315950863,5327.0,6319.820000000001,6323.66986270835,6276.672779211891,6247.025142857144,6315.122225050032,6260.245469893212,6284.00989247309,-10.258117349884742,101.60686018836084,9.478890793801453,23.98561595408219,19.8321753665442,-0.5323573888072246
217,218,-0.32251373346871787,-0.11835749217326422,-0.4042460551484176,-0.08310496849042392,-0.5486279199243593,-0.524163793423126,-0.5578713136568968,6579.0,6311.180000000001,6321.987936082004,6276.4495072574455,6247.806857142858,6314.481365912627,6262.4465722652985,6282.576344085994,-10.224660632059567,54.34760603300003,19.11349845423325,26.685175349796214,18.121124013578477,-0.6744461575653373
218,219,-0.5241144345370806,-0.5568568155414404,-0.4180254875646837,-0.8283424842357626,-0.712594091883736,-0.6666158880427813,-0.6428403453543681,6221.0,6301.42,6316.595166012197,6268.949850917468,6248.834354037268,6311.319218457755,6253.879372962399,6277.880860215026,-14.804434877273708,-13.629602920628702,29.50695015543365,30.431477477338987,16.564421106969064,-0.6899522478357833
219,220,-0.6665714555452765,-0.6416933941840783,-0.6563194225801094,-0.7368214340276255,-0.7220815347841085,-0.6821789655174973,-0.703626050062262,7654.0,6288.3,6307.67934885012,6254.767321900204,6248.4270393374745,6303.075240275011,6235.742208851895,6269.944086021477,-23.010190369936936,-78.4968057121384,38.10018150855189,33.55566847271253,15.04045661005514,-1.9315991809268558
220,221,-0.6821350712343779,-0.7023843437545073,-0.8519493042804426,-1.0729025434339647,-3.5480554362971435,-1.9396120113375896,-2.5882971510462487,9088.0,6274.246666666667,6288.564552150112,6221.18462034857,6243.893991304349,6283.667229206069,6189.852442313149,6252.079569892445,-42.49891401381865,-227.00227800708296,61.90160372190883,48.30036654585809,11.365956004993818,0.6317367567742381
221,222,-1.939611602576842,-2.584117545604015,-2.062611675103546,-1.692378026757083,1.0034296293474652,0.6322517894246648,0.901012168434896,8087.0,6262.08,6274.1410326565565,6197.615223380498,6238.671228985508,6272.521598434077,6159.748655322816,6238.579784946209,-53.00775545544912,-171.39824130555246,61.90160372190883,44.13050968739469,10.38471273522652,0.09937104546447201
222,223,0.632341140369028,0.8997525018342352,0.7347095388729763,0.5018717777463175,0.9801730771697674,0.10573733984556472,0.2720620453934846,7472.0,6250.16,6261.21580474323,6177.535802211225,6232.705133333334,6262.759124577169,6135.419606143635,6226.432688172015,-59.93510695011173,-115.8559263971812,53.79211804674984,41.82875659925075,12.567732805408616,-0.9292640605497295
223,224,0.105808482459908,-0.6737236485837594,-0.890465597070997,-1.234066887463445,-1.0435334161757783,-0.9228045617283093,-1.0012144930686104,6708.0,6233.706666666666,6244.04059153399,6149.692163905082,6226.722986956523,6242.060071232504,6100.313002170557,6209.970752688145,-70.96553781401963,-136.12639349967242,59.24426169191624,44.528904412957786,11.396381609726216,1.040285894173042
224,225,-0.9227689889457118,-0.054002434775149856,0.044061119054092115,1.2840982897545152,0.38719091980563114,1.0336751114926288,1.1409678481114285,8844.0,6220.173333333333,6233.637972725345,6135.645058316022,6221.897171277999,6233.653860535449,6086.042290350437,6200.23483870965,-71.79490059555428,-80.5647320407678,40.778751758432094,40.39498623020727,16.99291602868283,0.3640154648386884
225,226,1.033778344768867,1.1393341291982624,1.2837590865221036,0.7044541500654969,1.34182257298754,0.3679618284355617,0.2778975690252073,6444.0,6208.78,6225.932297065646,6127.052970872044,6216.470846508565,6228.694860463536,6079.821157557652,6193.397849462338,-69.12166744039769,-40.9996358214288,31.676200161587957,38.11470358504472,19.776856982881487,0.09853845438162431
226,227,0.36804203950003284,0.2776092378694055,0.17837030620986258,-0.39113792115246965,-0.05224486408054721,0.10491082958028634,0.02945742796382265,5648.0,6207.06,6219.291503706572,6120.579133802456,6211.130461133071,6227.833237771381,6076.550719166253,6187.86365591395,-65.53754838789155,-37.91129657668285,32.11459285257983,37.30021496792784,19.16624216228383,0.3685864711302091
227,228,0.10498194361161223,0.02955637503126788,-0.0846476297993853,0.4042327160367017,0.0165146232786163,0.3724825266433044,0.3711360219043517,5634.0,6204.526666666667,6215.143664757761,6118.919598411475,6206.663290043291,6227.056654516026,6080.059494499449,6184.504946236531,-59.4299047041568,-20.7419944122075,26.708992638814557,35.31141161602398,20.42482443263528,0.3875033367295801
228,229,0.3725628940460583,0.37070234699606663,0.7152133050916054,0.5591035894937312,0.7219370573596323,0.3911881303733246,0.42703615377769233,4638.0,6203.353333333333,6213.444073483067,6121.838071192472,6203.1821645021655,6226.799026139655,6089.805195197835,6183.490322580618,-51.27115361628239,12.475792786250176,19.374561253610377,33.9887615241591,22.95596969365912,-0.2783333079104876
229,230,0.39126914466773777,0.4265153395542439,0.32144952072061955,0.03448316234384957,-0.8597851085074601,-0.2702013046982871,-0.2501233085020475,5183.0,6203.846666666665,6210.318649387385,6121.698927929256,6200.114699248121,6226.4767705377135,6094.52630664851,6181.015913978467,-46.193258563203926,2.543330430816834,27.68458478445204,36.59000884647143,20.72310989568536,0.39612175045380627
230,231,-0.2701431630849849,-0.24958854003146658,-0.21697269272262054,0.10708440649600873,0.8079867234480972,0.39970865812902573,0.38767521992151066,6191.0,6203.686666666666,6209.6271236204575,6126.077892345404,6196.813358395991,6226.355922324108,6105.401705189526,6180.741935483844,-38.92831789696629,47.51314541849835,26.263883256638355,34.7891633392556,20.316322793377743,-0.14442703148500916
231,232,0.3997899670869215,0.38721576306351874,0.3396810075378213,0.1627089513365259,0.18063691468599669,-0.13669279797241504,-0.08611749774013715,6258.0,6203.333333333332,6208.193115644944,6128.692666023445,6187.08067251462,6226.16452245716,6113.13799635998,6179.691182795672,-33.76600463541854,69.75221370637841,23.975348400940216,33.1447834449669,20.325174691832387,0.6781913136862919
232,233,-0.13663003926464776,-0.08583838795145327,-0.23065750927367165,0.6035337408181504,0.037434355431673116,0.6780107994969362,0.7295445469521472,6954.0,6205.426666666666,6210.670979151721,6138.617592141176,6178.148304093568,6226.354093242067,6131.033056511406,6182.482580645135,-24.61415231215051,113.68143249957632,15.436759671318796,30.47216542705452,22.322395878750356,0.43199094448614533
233,234,0.6781017329147861,0.728552170796213,0.7943286790671358,0.5169215746046829,0.9171459369810779,0.4351594617186134,0.47941089131114434,6392.0,6206.366666666666,6215.453496625804,6152.522683188468,6170.392046783626,6226.720917073104,6153.961492877495,6187.603440860188,-14.116101035377142,152.2063229548671,8.506486766562858,29.040178473690958,24.486904264075683,0.10256034570717212
234,235,0.4352419966636245,0.4788084332953187,0.4644698095224869,0.11095294687971634,0.2839468434278675,0.10890325792887615,0.09486309735557746,7018.0,6208.339999999999,6220.533916198333,6166.415805808674,6164.843333333333,6227.339182025165,6176.005930626879,6193.270107526855,-4.980407288214337,140.23209064327378,7.055209602606957,28.05366519140142,24.3560499369659,0.4037679410937393
235,236,0.10897451002944782,0.09486008750364522,0.08574415629959577,0.573340787779138,0.1771929756018386,0.40726714787065404,0.5156588627455752,6313.0,6212.3533333333335,6227.609147411344,6183.6012926977055,6163.225555555556,6229.008265048729,6202.030680901982,6201.132043010725,5.105739177946816,141.94928992931634,0.5821369034148596,26.412539917463626,26.72185483773979,-0.8737666229364403
236,237,0.40734871822208946,-0.4511355726106425,-0.48802491887685484,-1.2194952505246162,-0.6766937687408999,-0.8669296668792955,-1.0100678487953763,2836.0,6213.460000000001,6229.247266933193,6189.6110630441,6163.038888888888,6229.165275331998,6210.941067296869,6203.754408602124,6.791401062512705,64.85462735462708,9.270487865997646,29.181546544354248,24.230032582373244,-0.6062403970003043
237,238,-0.8668921617878581,-0.04221297642578756,-0.029400752856199877,0.09780534793413702,-0.36293020144432403,-0.5981999984131081,-0.45745601795163415,4539.0,6212.933333333334,6227.373249711696,6188.541107382435,6163.848888888889,6229.015073495378,6209.247168949061,6202.898924731156,3.822715632329164,29.77736125080057,14.109041292938937,30.10743826792752,22.66215461759358,0.6882841114271367
238,239,-0.59815319990438,-0.45659805113237417,-0.5731998113768065,-0.02945680604788287,0.05823422232724883,0.6879485770865565,0.4700368092251903,6413.0,6214.346666666667,6229.504007794812,6195.170454790355,6170.0888888888885,6229.235194663546,6218.748999172658,6205.961290322553,6.255537980392546,43.05866213354789,14.10904129293893,28.33011110390633,21.324343587685927,-0.5440185902994017
239,240,0.6880398541803192,0.46944896389570157,1.1094757056762727,0.4452274356361733,0.016265816842268264,-0.5358440369562752,-0.4526288131437248,8960.0,6214.253333333335,6228.439233098373,6195.324668474953,6177.85111111111,6229.165021088916,6218.522360414856,6205.874408602123,4.30911061228926,29.76661392404934,7.343062330372073,25.903046917069588,22.359125513501134,1.1528503627173632
240,241,-0.5357950820054479,-0.4517783711604002,-0.8706094747323337,0.2675539705055377,0.21631398295458107,1.143878010707904,0.9649724538819517,10098.0,6217.693333333334,6233.946379350091,6208.120084744305,6188.538888888888,6230.131031955404,6236.639210446518,6212.296774193522,10.77605087246775,85.04040183446153,3.3821776680692723,23.58613700665984,22.042882498787623,0.303110980455964
241,242,1.1439850551060586,0.963613083483022,1.0509657597336952,0.6380027380754401,0.971395331144073,0.3077001273540021,0.6303462859285278,9310.0,6219.866666666668,6240.853064553311,6223.154075112201,6198.526900584796,6231.068675262239,6257.436220116707,6220.252043010726,17.889738530755494,144.11893721017674,5.676019515507097,22.34132506510303,25.030138586764377,0.542456818977662
